name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
A-MEM	A-MEM: Agentic Memory for LLM Agents	Wujiang Xu et al.	2025	NeurIPS 2025	2502.12110	https://github.com/agiresearch/A-mem	1178	2025-12-12	MIT	yes	Zettelkasten notes with attributes/keywords/tags, agent-created links, and evolution of old notes on new arrivals; routing is link-and-merge by the agent.	2,4	3	admit	Abs + full-text HTML (Zettelkasten/link/evolution verified) + repo opened; agentic linking plus backward evolution of existing memories on ingest.	2,8
APIGen	APIGen: Automated Pipeline for Generating Verifiable and Diverse Function-Calling Datasets	Liu et al.	2024	NeurIPS 2024 Datasets and Benchmarks	2406.18518	https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k	unknown	unknown	CC-BY (dataset)	60k verified function-call dataset	Three-stage verifier (format checker plus real execution plus semantic LLM judge) over 3673 executable APIs; closest published analog of Proof.	1	3	admit	Verified via arXiv abs page and project page; PDF downloaded.	1
Speculative-Sampling	Accelerating Large Language Model Decoding with Speculative Sampling	Charlie Chen, Sebastian Borgeaud, Geoffrey Irving, Jean-Baptiste Lespiau, Laurent Sifre, John Jumper	2023	preprint	2302.01318	unverified (no GitHub link on abs page)	unverified	unverified	unverified	paper	Distribution-preserving rejection sampling for draft verification; 2-2.5x on 70B.	5	3	admit	Abs page verified; rejection sampling preserving target distribution, 2-2.5x on 70B Chinchilla. PDF downloaded.	5
MOSAIC	Accurate and Efficient Long-Term Memory for LLM Agents	Zicheng Zhao et al.	2026	arXiv preprint	2607.16211					yes	Entity-typed graph storage with conflict-aware writes without expensive LLM classification	1	3	admit	Primary source opened; cheap write-time routing plus contradiction checks suited to 1-3B extractors	9
FLARE	Active Retrieval Augmented Generation	Jiang, Zhengbao; Xu, Frank F.; Gao, Luyu; Sun, Zhiqing; Liu, Qian; Dwivedi-Yu, Jane; Yang, Yiming; Callan, Jamie	2023	arXiv preprint	2305.06983					unknown	Confidence-thresholded forward-looking active retrieval	2	3	admit	Verified on arXiv abs page 2026-09-13; PDF downloaded (%PDF); threshold mechanism confirmed in PDF text.	3,5
Adaptive-RAG	Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity	Jeong, Soyeong; Baek, Jinheon; Cho, Sukmin; Hwang, Sung Ju; Park, Jong C.	2024	NAACL 2024	2403.14403	https://github.com/starsuzi/Adaptive-RAG				yes	Small-LM complexity classifier routing no/single/multi-step retrieval	2	3	admit	Verified on arXiv abs page and ACL Anthology page; PDF downloaded (%PDF); classifier confirmed in PDF text.	3
AWM	Agent Workflow Memory	Zora Zhiruo Wang et al.	2024	arXiv preprint	2409.07429	https://github.com/zorazrw/agent-workflow-memory	471 (repo-page scrape 2026-09-13, approx)	unknown	unknown	yes	Induces reusable routines (workflows) from trajectories offline or online and injects them as agent memory; +24.6%/+51.1% relative on Mind2Web/WebArena; text vs code repr equivalent.	4	3	admit	Abs page (abstract numbers recorded) + PDF (%PDF) opened; repo page opened for stars. True id found by search after recalled 2405.15283 failed verification.	8
AgentMemBench	AgentMemBench: A Systematic Benchmark for Evaluating Long-Term Memory Management Strategies	Ahmed Cherif	2026	arXiv preprint	2608.00009				unknown	unknown	Five strategies (ICW/EKV/GEM/CBS/WAM) compared under identical conditions on LoCoMo and document-grounding sets; first apples-to-apples management comparison.	1,2,4,5	3	admit	Abs + full-text HTML (ICW/EKV/GEM/CBS/WAM/LoCoMo verified); answers which management strategy wins where, the harness-level routing-accuracy evidence this lane needed.	2,9
AgentPoison	AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases	Zhaorun Chen et al.	2024	NeurIPS 2024	2407.12784	https://github.com/BillChan226/AgentPoison	243 (repo-page scrape 2026-09-13, approx)	unknown	unknown	yes	Optimized-trigger backdoor on agent long-term memory/RAG; >=80% attack success at <0.1% poison rate with <=1% benign impact; triggers transfer across embedders.	4	3	admit	Abs page (abstract numbers recorded) + PDF + NeurIPS poster page opened; repo page opened. Primary source for embedding-space trigger threat to learned-skill retrieval.	8
LLMCompiler	An LLM Compiler for Parallel Function Calling	Kim et al.	2024	ICML 2024	2312.04511	https://github.com/SqueezeAILab/LLMCompiler	1881	2024-07-10	MIT	code + DAG examples	Splits orchestration into planner plus task-fetching unit plus executor; parallel dispatch gives up to 3.7x latency speedup over ReAct.	1	3	admit	Verified via arXiv abs page and GitHub API; PDF downloaded.	1
