name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
Palimpzest	A Declarative System for Optimizing AI Workloads	Chunwei Liu; Matthew Russo; Michael Cafarella; Lei Cao; Peter Baille Chen; Zui Chen; Michael Franklin; Tim Kraska; Samuel Madden; Gerardo Vitagliano	2024	arXiv preprint	2405.14696	https://github.com/mitdbg/palimpzest	238	2026-08-25	MIT	yes	Declarative AI pipelines over unstructured data with a cost/quality optimizer.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
A-MEM	A-MEM: Agentic Memory for LLM Agents	Wujiang Xu et al.	2025	NeurIPS 2025	2502.12110	https://github.com/agiresearch/A-mem	1175	2025-12-12	MIT	yes	Zettelkasten-style evolving notes where the agent builds links and descriptions without fixed schema.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; closest to self-organizing placement.	3,8
apigen	APIGen: Automated Pipeline for Generating Verifiable and Diverse Function-Calling Datasets	Liu et al.	2024	arXiv preprint	2406.18518	--	--	--	--	dataset referenced on HF (xlam-function-calling-60k tag seen); org unverified	Multi-stage verifiable synthesis of 60k function-calling examples; reusable data recipe for MelodyScribe op-emission SFT	2	3	admit	Abs verified; PDF downloaded.	7
Adaptive-RAG	Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity	Jeong, Soyeong; Baek, Jinheon; Cho, Sukmin; Hwang, Sung Ju; Park, Jong	2024	NAACL 2024	2403.14403	https://github.com/starsuzi/Adaptive-RAG	410	2024-05-02	Apache-2.0	code only (checkpoints not confirmed)	T5-large (770M) classifier trained on auto-collected silver labels routes each query to no-retrieval / single-step / multi-step.	2	3	admit	Verified at arXiv abs + PDF + repo + NAACL anthology entry; the cheapest proven retrieve-decision artefact in the lane (sub-1B router).	4,5
Qwen3-Embedding	Advancing Text Embedding and Reranking Through Foundation Models	Zhang; Li; Long; Zhang; Lin; Yang; Xie; Yang	2025	arXiv preprint	2506.05176	https://github.com/QwenLM/Qwen3-Embedding	2029	2025-09-30	Apache-2.0	yes (0.6B / 4B / 8B, open)	Decoder-based embedders at 0.6B scale with multi-stage training + model merging; smallest strong open recipe	1	3	admit	Primary source opened (abs + PDF); 0.6B variant is the closest public artefact to MelodyScribe scale	1,9
agentpoison	AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases	Zhaorun Chen; Zhen Xiang; Chaowei Xiao; Dawn Song; Bo Li	2024	NeurIPS 2024	2407.12784	https://github.com/AI-secure/AgentPoison	243	2026-08-16	MIT	yes (code)	Optimized backdoor triggers mapping to unique embedding region; >=80% ASR at <0.1% poison rate	5	3	admit	Verified: abs page + PDF + NeurIPS proceedings + repo live (moved from BillChan226/AgentPoison cited in paper)	6
ace	Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models	Qizheng Zhang; Changran Hu; Shubhangi Upasani; Boyuan Ma; Fenglu Hong; et al.	2025	ICLR 2026	2510.04618	https://github.com/ace-agent/ace	1300 (page shows 1.3k)	unknown	Apache-2.0	yes (code)	Generator/Reflector/Curator playbook with delta updates; closest Folio analog	5	3	admit	Verified: abs page (ICLR 2026 in comments) + PDF + repo page live with matching README/citation	6
arctic-embed-2	Arctic-Embed 2.0: Multilingual Retrieval Without Compromise	Snowflake AI team (full author list not captured)	2024	arXiv	2412.04506	https://github.com/Snowflake-Labs/arctic-embed	91	not-fetched	Apache-2.0	yes (m ~113M non-embedding params; l ~335M)	Multilingual retrievers that keep English quality (prior work degraded it); two-stage MRL keeps quality at 256 dims; 8x16-bit to 128-byte vectors.	1	3	admit	Abs page, paper and repo README fetched (stars/license from repo page); truncation/quantization behaviour directly bears on store sizing.	1,9
BlendSQL	BlendSQL: A Scalable Dialect for Unifying Hybrid Question Answering in Relational Algebra	Parker Glenn; Parag Pravin Dakle; Liang Wang; Preethi Raghavan	2024	arXiv preprint	2402.17882	https://github.com/parkervg/blendsql	169	2026-08-28	Apache-2.0	yes	SQL dialect embedding LLM calls as ingredients evaluated inside relational algebra.	2	3	admit	Primary source opened (arXiv abs + API record); PDF downloaded and %PDF-verified.	5
Block-Attention	Block-Attention for Efficient Prefilling	Dongyang Ma, Yan Wang, Lan Tian	2024	preprint	2409.15355	https://github.com/TemporaryLoRA/Block-Attention	49	2025-03-15	None stated	code	Per-passage independent KV blocks (last block excepted) with reuse; same-family follow-up adds auto-segmentation + block distillation (2605.15913).	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.	2
