name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
PromptCache	Prompt Cache: Modular Attention Reuse for Low-Latency Inference	In Gim, Guojun Chen, Seung-seob Lee, Nikhil Sarda, Anurag Khandelwal, Lin Zhong	2023	MLSys 2024	2311.04934	https://github.com/yale-sys/prompt-cache	114	2024-11-09	MIT	code (prototype)	Schema-defined prompt modules with precomputed attention states reused across prompts; 8x GPU / 60x CPU TTFT cut.	3	3	admit	Verified at arXiv abs + HTML (repo link) + GitHub API; PDF downloaded.
CacheBlend	CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion	Jiayi Yao, Hanchen Li, Yuhan Liu, Siddhant Ray, Yihua Cheng, Qizheng Zhang, Kuntai Du, Shan Lu, Junchen Jiang	2024	preprint	2405.16444	https://github.com/YaoJiayi/CacheBlend (+ https://github.com/LMCache/LMCache)	203 (LMCache 11762)	2025-07-15 (LMCache 2026-09-12)	LMCache: Apache-2.0	code (research + production LMCache)	Selective recompute of high-KV-deviation tokens fuses out-of-order chunk caches; 2.2-3.3x TTFT, 2.8-5x throughput.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
EPIC	EPIC: Efficient Position-Independent Caching for Serving Large Language Models	Junhao Hu, Wenrui Huang, Weidong Wang, Haoyi Wang, Tiancheng Hu, Qin Zhang, Hao Feng, Xusheng Chen, Yizhou Shan, Tao Xie	2024	preprint	2410.15332	https://github.com/DerekHJH/epic	22	2026-07-13	Apache-2.0	code	LegoLink algorithm suppresses per-document attention-sink distortion; formalizes PIC; up to 8x TTFT.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
RAGCache	RAGCache: Efficient Knowledge Caching for Retrieval-Augmented Generation	Chao Jin, Zili Zhang, Xuanlin Jiang, Fangyue Liu, Xin Liu, Xuanzhe Liu, Xin Jin	2024	preprint	2404.12457	--	--	--	--	--	Knowledge-tree cache of retrieved chunks across GPU/host memory with RAG-aware replacement; 4x TTFT on vLLM+Faiss.	3	3	admit	Verified at arXiv abs; no public repo found in paper HTML or GitHub search; PDF downloaded.
TurboRAG	TurboRAG: Accelerating Retrieval-Augmented Generation with Precomputed KV Caches for Chunked Text	Songshuo Lu, Hua Wang, Yutian Rong, Zhi Chen, Yaohua Tang	2024	preprint	2410.07590	https://github.com/MooreThreads/TurboRAG	102	2024-11-25	None stated	code	Offline-precomputed per-document KV + mask/position redesign + fine-tune to recover accuracy; ~8.6x mean TTFT cut.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
CacheGen	CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving	Yuhan Liu, Hanchen Li et al.	2023	SIGCOMM 2024	2310.07240	https://github.com/UChi-JCL/CacheGen	170	2024-10-09	None stated	code	Distribution-aware KV tensor codec + bandwidth-adaptive compression; 3.5-4.3x smaller caches, 3.2-3.7x faster fetch+process.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
ChunkAttention	ChunkAttention: Efficient Self-Attention with Prefix-Aware KV Cache and Two-Phase Partition	Lu Ye, Ze Tao, Yong Huang, Yang Li	2024	ACL 2024	2402.15220	https://github.com/microsoft/chunk-attention	89	2025-04-18	MIT	code	Prefix-tree chunked KV sharing across requests + locality-aware kernel; 3.2-4.8x self-attention speedup. Prefix-only.	3	2	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded. Prefix-only so capped relevance.
KVLink	KVLink: Accelerating Large Language Models via Efficient KV Cache Reuse	Jingbo Yang, Bairu Hou, Wei Wei, Yujia Bao, Shiyu Chang	2025	preprint	2502.16002	https://github.com/UCSB-NLP-Chang/KVLink	48	2025-10-16	None stated	code	Independent per-document precompute + link techniques to repair missing cross-document attention on concat.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
Block-Attention	Block-Attention for Efficient Prefilling	Dongyang Ma, Yan Wang, Lan Tian	2024	preprint	2409.15355	https://github.com/TemporaryLoRA/Block-Attention	49	2025-03-15	None stated	code	Per-passage independent KV blocks (last block excepted) with reuse; same-family follow-up adds auto-segmentation + block distillation (2605.15913).	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
MiniPIC	MiniPIC: Flexible Position-Independent Caching in <100LOC	Nathan Ordonez, Thomas Parnell (IBM Research)	2026	preprint	2606.13126	https://github.com/IBM/vllm (vLLM fork)	27	2026-02-27	Apache-2.0	code (fork)	Unrotated-K storage with late RoPE + user-controlled reuse primitives; minimal-diff PIC inside vLLM.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
HYPIC	HYPIC: Accelerating Hybrid-Attention LLM Serving with Position-Independent Caching	Yifei Liu, Juntong Wu, Yang Liu, Junhao Hu, Minghao Li, Xiaoxu Chen, Weihang Chen	2026	preprint	2607.01299	--	--	--	--	--	First PIC for hybrid linear/full-attention models; per-token KV primitives do not transfer to recurrent state.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.
CacheClip	CacheClip: Accelerating RAG with Effective KV Cache Reuse	Bin Yang, Qiuyu Leng, Jun Zeng, Zhenhua Wu	2025	preprint	2510.10129	--	--	--	--	--	Small auxiliary LLM's last-layer attention predicts which tokens need recompute; positions itself vs APE and CacheBlend.	3	3	admit	Verified at arXiv abs + HTML; no dedicated repo in paper; PDF downloaded.
vLLM-PagedAttention	Efficient Memory Management for Large Language Model Serving with PagedAttention	Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, J. Gonzalez, Hao Zhang, Ion Stoica	2023	preprint	2309.06180	https://github.com/vllm-project/vllm	91532	2026-09-12	Apache-2.0	engine (production)	Paged KV-cache memory + automatic prefix caching; the baseline reuse API every PIC system builds on or compares against.	3	3	admit	Verified at arXiv abs + GitHub API; PDF downloaded.
SGLang	SGLang: Efficient Execution of Structured Language Model Programs	Lianmin Zheng, Liangsheng Yin, Zhiqiang Xie, Chuyue Sun, Jeff Huang, Cody Hao Yu, Shiyi Cao, C. Kozyrakis, Ion Stoica, J. Gonzalez, Clark Barrett, Ying Sheng	2023	preprint	2312.07104	https://github.com/sgl-project/sglang	35834	2026-09-12	Apache-2.0	engine (production)	RadixAttention: radix-tree KV reuse across requests/programs + compressed FSM for structured decoding.	3	3	admit	Verified at arXiv abs + GitHub API; PDF downloaded.
KVPacket	KV Packet: Recomputation-Free Context-Independent KV Caching for LLMs	Chuangtao Chen, Grace Li Zhang, Xunzhao Yin, Cheng Zhuo, Bing Li, Ulf Schlichtmann	2026	preprint	2604.13226	https://github.com/ChuangtaoChen-TUM/KVPacket	37	2026-08-12	MIT	code	Immutable cached-document packets wrapped in trainable soft prompts; zero-recompute alternative to CacheBlend/EPIC-style repair.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
GroundedCacheRouting	Grounded Cache Routing for Retrieval-Augmented Generation: When Is It Safe to Reuse an Answer?	Syed Huma Shah (Duke)	2026	preprint	2605.27494	--	--	--	--	--	Reuse-as-decision framing: when cached answers are unsafe (evidence drift, collisions); surveys RAGCache/TurboRAG/CacheBlend/EPIC/PCR/LMCache.	3	3	admit	Verified at arXiv abs + HTML; single-author preprint, no artefact; PDF downloaded.
HijackKV	HijackKV: New Threat in Position-Independent KV Cache Reuse	Yichi Zhang, Zhiqi Wang, Huan Zhang, Yuchen Yang	2026	preprint	2607.19957	https://github.com/YichiCS/KV-Cache-Hijack	6	2026-07-22	MIT	PoC exploit	Token-match-retrieved KV encodes its original context; attacker chunk steers victim generation. Directly constrains PIC.	3	3	admit	Verified at arXiv abs + HTML + GitHub API; PDF downloaded.
