name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
Qwen3-Embedding	Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models	Yanzhao Zhang et al.	2025	arXiv preprint	2506.05176	https://github.com/QwenLM/Qwen3-Embedding	not-fetched	not-fetched	Apache-2.0 (weights + paper)	yes (Qwen/Qwen3-Embedding-0.6B, 8.3M downloads)	Decoder-based 0.6B/4B/8B embedders; multi-stage training, synthetic data, model merging	1	3	admit	Primary source opened (arXiv abs). Direct recipe for 0.6B dense embedder at MelodyScribe scale.
BGE-M3	M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings Through Self-Knowledge Distillation	Jianlv Chen et al.	2024	arXiv preprint	2402.03216	https://github.com/FlagOpen/FlagEmbedding	12153	2026-08-24	MIT (code); CC-BY-4.0 (paper)	yes (BAAI/bge-m3; bge-small-en-v1.5, 64M downloads, MIT)	Self-distillation across dense/multi-vector/sparse heads; 8192-token long docs	1	3	admit	Primary source opened (arXiv abs). Self-KD + long-doc handling directly relevant.
Nomic-Embed	Nomic Embed: Training a Reproducible Long Context Text Embedder	Zach Nussbaum et al.	2024	TMLR (accepted)	2402.01613	https://github.com/nomic-ai/contrastors	802	2025-03-26	Apache-2.0	yes (nomic-ai/nomic-embed-text-v1, 3.5M downloads; data + code released)	Fully reproducible 137M-param, 8192-context embedder beating Ada-002	1	3	admit	Primary source opened (arXiv abs). Only fully reproducible small long-context recipe.
Gecko	Gecko: Versatile Text Embeddings Distilled from Large Language Models	Jinhyuk Lee et al.	2024	arXiv preprint	2403.20327	none (Google, no public repo)	n/a	n/a	n/a (paper CC-BY-4.0)	no public weights	Two-step LLM distillation (synthetic pairs + LLM relabel of hard negatives); 256d beats 768d baselines	1	3	admit	Primary source opened (arXiv abs). Canonical LLM-to-small-embedder distillation recipe.
MRL	Matryoshka Representation Learning	Aditya Kusupati et al.	2022	arXiv preprint	2205.13147	https://github.com/RAIVNLab/MRL	658	2024-02-19	MIT	yes (code + pretrained models)	Nested coarse-to-fine embeddings; 14x smaller at same accuracy, truncate at query time	1	3	admit	Primary source opened (arXiv abs). Truncation mechanism for storage-efficient vectors.
jina-embeddings-v3	jina-embeddings-v3: Multilingual Embeddings With Task LoRA	Saba Sturua et al.	2024	arXiv preprint	2409.10173	no official training repo found (weights: jinaai/jina-embeddings-v3, 2.0M downloads)	n/a	n/a	CC-BY-NC-4.0 (weights)	yes (570M params, 8192 tokens)	570M multilingual model with task-specific LoRA adapters; long-context retrieval	1	3	admit	Primary source opened (arXiv abs). Task-LoRA pattern for query/doc asymmetry.
E5-Mistral	Improving Text Embeddings with Large Language Models	Liang Wang et al.	2023	arXiv preprint	2401.00368	via https://github.com/huggingface/sentence-transformers	19092	2026-09-11	Apache-2.0 (code)	yes (intfloat/e5-mistral-7b-instruct)	Synthetic data only + under 1k steps to turn a decoder into a top embedder	1	3	admit	Primary source opened (arXiv abs). Cheapest proven decoder-to-embedder recipe.
Nomic-MoE	Training Sparse Mixture Of Experts Text Embedding Models	Zach Nussbaum et al.	2025	arXiv preprint	2502.07972	https://github.com/nomic-ai/contrastors	802	2025-03-26	Apache-2.0	yes (nomic-embed-text-v2-moe)	Sparse-MoE embedder: capacity without proportional inference cost	1	2	admit	Primary source opened (arXiv abs). Capacity-vs-cost option for 0.3-2B regime.
E5	Text Embeddings by Weakly-Supervised Contrastive Pre-training	Liang Wang et al.	2022	arXiv preprint	2212.03533	not-verified	not-fetched	not-fetched	not-fetched	yes (intfloat/e5-small and family, per paper)	Weakly-supervised contrastive pretraining on 270M pairs then supervised fine-tune; the small-model recipe	1	3	admit	Primary source opened (arXiv abs + API record). Foundational two-stage recipe for small embedders.
SBERT	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	Nils Reimers et al.	2019	arXiv preprint	1908.10084	https://github.com/huggingface/sentence-transformers	19092	2026-09-11	Apache-2.0 (code)	yes (ubiquitous small checkpoints)	Siamese bi-encoder that made BERT usable for retrieval; all small embedders descend from it	1	2	admit	Primary source opened (arXiv API record). Architectural baseline for 0.1-0.6B bi-encoders.
